"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   , "Norm2(dU[Rho])" , "Norm2(dU[RhoU])", "Norm2(dU[RhoV])", "Norm2(dU[RhoE])"
          0,           0,         145,      -1.659207276,      0.9528937123,      0.8416437626,       3.942448437,                 0,                 0,                 0,                 0
          0,           0,         146,      -1.668463326,      0.9384651137,      0.8325732846,       3.930087998,                 0,                 0,                 0,                 0
          0,           0,         147,      -1.676855633,      0.9260022303,      0.8225119479,       3.919198178,                 0,                 0,                 0,                 0
          0,           0,         148,      -1.684168282,      0.9167534185,      0.8114919373,        3.91079845,                 0,                 0,                 0,                 0
          0,           0,         149,      -1.691232301,      0.9074359127,      0.7998267908,       3.902471344,                 0,                 0,                 0,                 0
          0,           0,         150,      -1.698742374,      0.8973140065,      0.7886435856,       3.893646206,                 0,                 0,                 0,                 0
          0,           0,         151,       -1.70697908,      0.8854256093,      0.7779976886,       3.883505122,                 0,                 0,                 0,                 0
          0,           0,         152,      -1.715588418,       0.872667348,      0.7672583988,        3.87251591,                 0,                 0,                 0,                 0
          0,           0,         153,      -1.723990978,      0.8607092015,      0.7564444315,       3.862052147,                 0,                 0,                 0,                 0
          0,           0,         154,      -1.732041655,      0.8492116062,      0.7455013772,       3.852134336,                 0,                 0,                 0,                 0
          0,           0,         155,      -1.740031966,       0.838027034,      0.7347074062,       3.842589697,                 0,                 0,                 0,                 0
          0,           0,         156,      -1.748126785,      0.8267408134,        0.72397709,       3.832947988,                 0,                 0,                 0,                 0
          0,           0,         157,      -1.756323499,      0.8158280804,      0.7136371089,       3.823396428,                 0,                 0,                 0,                 0
          0,           0,         158,      -1.764516757,      0.8052121905,      0.7033067101,       3.814132474,                 0,                 0,                 0,                 0
          0,           0,         159,      -1.772795911,      0.7933501264,      0.6924628894,       3.803972111,                 0,                 0,                 0,                 0
          0,           0,         160,      -1.781185179,      0.7814434495,      0.6819072783,       3.794023596,                 0,                 0,                 0,                 0
          0,           0,         161,      -1.789656942,      0.7694013025,       0.671243409,       3.784005546,                 0,                 0,                 0,                 0
          0,           0,         162,      -1.798161925,      0.7570608023,      0.6604075614,       3.773666174,                 0,                 0,                 0,                 0
          0,           0,         163,       -1.80638029,      0.7456379469,      0.6494702682,       3.763871838,                 0,                 0,                 0,                 0
          0,           0,         164,      -1.814327178,      0.7353033243,      0.6378893556,       3.754781423,                 0,                 0,                 0,                 0
          0,           0,         165,      -1.822403745,      0.7248630117,      0.6259143723,        3.74558639,                 0,                 0,                 0,                 0
          0,           0,         166,      -1.830784625,       0.713027932,      0.6141032167,       3.735621298,                 0,                 0,                 0,                 0
          0,           0,         167,      -1.839486786,      0.7003719322,       0.602402094,       3.725114664,                 0,                 0,                 0,                 0
          0,           0,         168,      -1.848531679,      0.6868920399,      0.5907915545,       3.713959205,                 0,                 0,                 0,                 0
          0,           0,         169,      -1.857349265,      0.6740454866,      0.5789325779,       3.703240372,                 0,                 0,                 0,                 0
          0,           0,         170,      -1.865812655,      0.6615336385,      0.5662913323,       3.692684106,                 0,                 0,                 0,                 0
          0,           0,         171,      -1.873926572,       0.650435219,       0.553246454,       3.683159391,                 0,                 0,                 0,                 0
          0,           0,         172,      -1.882133519,      0.6381512028,      0.5397774335,       3.672872647,                 0,                 0,                 0,                 0
          0,           0,         173,      -1.890406049,       0.626460632,       0.526576091,       3.662986693,                 0,                 0,                 0,                 0
          0,           0,         174,      -1.898924926,      0.6144355638,      0.5139374303,       3.653021942,                 0,                 0,                 0,                 0
